hg19	hg38	Liver	Lungs	Colon	SmallIntestines	Pancreas	AdrenalGlands	Esophagus	AdiposeTissues	Heart	Brain	T-cells	B-cells	Neutrophils	Placenta	Minimum	Maximum	Mean	S.D.	C.V.	Placenta-informative
chr11:128694085-128694585	chr11:128824190-128824690	9.1	33.0	14.7	18.2	11.6	10.0	14.9	23.9	30.1	8.1	58.0	26.2	15.9	63.7	8.1	58.0	21.1	13.7	0.7	Y
chr11:129242459-129242959	chr11:129372564-129373064	9.4	7.6	44.6	28.5	58.0	13.4	29.8	3.5	4.6	12.6	6.4	13.1	4.5	55.9	3.5	58.0	18.2	17.1	0.9	N
chr11:129487960-129488460	chr11:129618065-129618565	40.3	43.6	85.0	54.1	70.8	36.9	64.8	52.8	40.6	49.2	39.5	46.3	30.6	70.9	30.6	85.0	50.4	15.3	0.3	N
chr11:129938437-129938937	chr11:130068542-130069042	18.2	38.1	19.0	56.6	24.5	31.9	29.1	61.1	41.0	21.6	54.6	63.5	56.7	49.9	18.2	63.5	39.7	17.0	0.4	N
chr11:130184949-130185449	chr11:130315054-130315554	12.9	12.7	37.4	14.6	9.4	22.4	16.0	17.7	16.6	9.6	12.0	5.4	6.0	36.5	5.4	37.4	14.8	8.3	0.6	N
chr11:130319735-130320235	chr11:130449840-130450340	19.7	14.1	8.0	16.3	16.8	8.8	33.3	9.1	11.4	16.8	28.5	22.9	14.6	18.3	8.0	33.3	16.9	7.6	0.4	N
chr11:131561357-131561857	chr11:131691463-131691963	21.5	19.8	31.2	14.8	13.9	21.2	18.3	17.6	16.0	39.8	21.4	28.0	27.6	13.8	13.9	39.8	22.4	7.4	0.3	N
chr11:132812663-132813163	chr11:132942768-132943268	41.9	16.6	29.2	24.1	21.4	23.2	28.1	33.5	35.2	23.8	18.6	14.5	12.3	34.6	12.3	41.9	24.8	8.6	0.3	N
chr11:133788972-133789472	chr11:133919077-133919577	39.5	51.6	40.0	46.0	64.4	31.0	33.5	51.6	70.5	77.2	32.7	40.4	56.7	69.2	31.0	77.2	48.8	14.9	0.3	N
chr11:133939351-133939851	chr11:134069456-134069956	17.2	16.5	24.8	12.9	20.0	14.1	24.0	37.2	6.6	2.2	47.2	33.2	32.6	15.1	2.2	47.2	22.2	12.8	0.6	N
chr11:133994710-133995210	chr11:134124815-134125315	12.3	6.0	3.4	4.5	6.3	10.1	11.9	7.9	1.6	0.7	10.6	22.2	4.0	48.5	0.7	22.2	7.8	5.8	0.7	Y
chr11:134147060-134147560	chr11:134277166-134277666	16.3	12.8	12.6	8.8	12.7	11.9	26.7	12.9	6.3	19.3	39.9	11.3	5.8	5.4	5.8	39.9	15.2	9.2	0.6	N
chr11:134230228-134230728	chr11:134360334-134360834	3.6	11.6	14.1	11.2	19.4	12.5	13.1	25.1	12.7	2.2	7.0	8.4	3.8	2.8	2.2	25.1	11.1	6.4	0.6	N
chr12:213764-214264	chr12:104598-105098	62.3	44.4	16.7	47.6	23.1	62.9	52.3	60.3	61.5	49.9	69.0	65.8	55.8	48.9	16.7	69.0	51.7	15.9	0.3	N
chr12:247956-248456	chr12:138790-139290	30.8	19.3	58.6	34.7	14.9	19.8	26.6	25.3	19.2	31.4	54.8	30.8	35.0	44.8	14.9	58.6	30.9	13.1	0.4	N
chr12:679460-679960	chr12:570294-570794	21.0	35.8	7.6	23.7	22.4	16.6	15.5	28.5	5.3	12.7	74.8	76.7	77.2	22.4	5.3	77.2	32.1	26.4	0.8	N
chr12:752753-753253	chr12:643587-644087	17.6	32.3	12.0	34.9	70.8	66.2	43.6	40.1	41.3	60.1	16.2	3.7	2.5	33.4	2.5	70.8	34.0	22.8	0.7	N
chr12:1702139-1702639	chr12:1592973-1593473	51.6	34.0	6.6	27.6	8.2	28.9	18.7	34.4	24.1	8.3	18.6	38.1	64.9	46.6	6.6	64.9	28.0	17.1	0.6	N
chr12:1739787-1740287	chr12:1630621-1631121	32.5	12.4	6.0	14.9	39.8	28.9	27.8	24.2	30.4	18.4	12.8	8.1	1.1	16.8	1.1	39.8	19.8	11.7	0.6	N
chr12:1770702-1771202	chr12:1661536-1662036	1.0	5.5	16.4	1.8	47.2	21.8	12.1	11.5	12.4	0.1	14.1	1.8	2.0	4.7	0.1	47.2	11.4	12.8	1.1	N
chr12:1906278-1906778	chr12:1797112-1797612	14.4	8.6	2.1	10.2	34.8	40.3	16.0	7.3	35.1	41.7	3.8	3.4	1.8	54.0	1.8	41.7	16.9	15.4	0.9	N
chr12:2017134-2017634	chr12:1907968-1908468	25.2	23.4	15.9	19.7	16.0	16.0	25.4	39.7	23.2	43.2	47.5	30.4	26.8	8.3	15.9	47.5	27.1	10.4	0.4	N
chr12:2800140-2800640	chr12:2690974-2691474	11.4	16.8	5.8	8.7	13.4	15.8	21.0	21.8	54.5	12.7	0.5	2.7	0.9	42.2	0.5	54.5	14.3	14.0	1.0	N
chr12:3069461-3069961	chr12:2960295-2960795	33.2	15.5	49.1	31.9	19.1	21.3	24.1	24.2	25.5	22.0	10.3	12.9	8.1	13.8	8.1	49.1	22.9	10.9	0.5	N
chr12:3308813-3309313	chr12:3199647-3200147	52.2	25.8	1.7	2.1	4.7	2.5	3.2	19.0	35.9	3.8	2.8	3.3	0.0	3.9	0.0	52.2	12.1	16.4	1.4	N
chr12:4384867-4385367	chr12:4275701-4276201	25.3	43.1	3.7	22.5	21.6	19.1	19.9	43.1	30.0	12.1	20.2	38.0	34.8	14.5	3.7	43.1	25.6	11.8	0.5	N
chr12:4671310-4671810	chr12:4562144-4562644	16.2	12.8	7.9	14.9	5.7	3.2	13.3	6.8	5.8	4.1	49.8	53.9	19.0	7.0	3.2	53.9	16.4	16.5	1.0	N
chr12:4919274-4919774	chr12:4810108-4810608	23.1	24.9	37.2	22.3	12.9	19.5	29.6	26.0	19.3	15.6	33.6	25.4	13.7	12.5	12.9	37.2	23.3	7.3	0.3	N
chr12:5542896-5543396	chr12:5433730-5434230	7.3	18.8	14.6	10.1	4.9	10.3	11.7	31.3	30.7	4.8	12.5	20.2	14.8	8.0	4.8	31.3	14.8	8.6	0.6	N
chr12:6165442-6165942	chr12:6056276-6056776	62.0	46.0	22.6	34.5	36.3	53.7	48.0	40.9	51.5	37.3	27.3	18.5	16.1	41.1	16.1	62.0	38.1	14.2	0.4	N
chr12:6387155-6387655	chr12:6277989-6278489	12.6	28.5	10.6	24.9	6.6	37.1	15.4	36.5	33.9	46.8	29.3	19.1	46.1	25.5	6.6	46.8	26.7	13.2	0.5	N
chr12:6492890-6493390	chr12:6383724-6384224	2.7	6.2	2.0	4.4	1.9	3.8	6.3	1.7	5.1	23.1	25.3	2.5	0.0	4.6	0.0	25.3	6.5	8.1	1.2	N
chr12:6649678-6650178	chr12:6540512-6541012	56.1	15.9	3.9	12.6	75.0	9.7	11.6	21.0	30.7	54.0	22.2	18.1	15.9	3.0	3.9	75.0	26.7	21.5	0.8	N
chr12:6664926-6665426	chr12:6555760-6556260	2.9	9.9	73.9	29.8	3.1	0.4	38.3	0.3	0.7	0.2	0.1	1.6	0.4	0.6	0.1	73.9	12.4	22.2	1.8	N
chr12:6756002-6756502	chr12:6646836-6647336	61.8	49.6	42.8	41.8	31.1	38.1	36.9	45.6	37.8	33.3	57.1	25.2	24.1	19.7	24.1	61.8	40.4	11.2	0.3	N
chr12:6960006-6960506	chr12:6850842-6851342	29.7	24.1	10.7	12.4	24.0	21.5	18.0	25.1	22.5	23.7	37.5	30.5	40.1	18.4	10.7	40.1	24.6	8.5	0.3	N
chr12:7046238-7046738	chr12:6937075-6937575	33.8	20.9	22.1	11.6	11.4	17.7	19.3	23.8	28.8	17.4	1.2	2.0	2.1	24.0	1.2	33.8	16.3	10.3	0.6	N
chr12:7055650-7056150	chr12:6946487-6946987	8.0	28.2	2.7	18.3	5.8	16.3	14.2	22.6	40.1	48.2	0.4	1.0	0.6	17.3	0.4	48.2	15.9	15.5	1.0	N
chr12:7078501-7079001	chr12:6969338-6969838	31.5	51.1	12.8	39.6	20.9	43.1	28.8	53.9	48.8	49.5	50.4	36.2	81.5	27.2	12.8	81.5	42.2	17.3	0.4	N
chr12:9392460-9392960	chr12:9239864-9240364	54.7	37.9	45.2	51.0	29.1	25.5	21.5	32.9	25.7	38.4	21.6	51.0	68.9	28.1	21.5	68.9	38.7	14.6	0.4	N
chr12:9599916-9600416	chr12:9447320-9447820	24.4	16.8	2.0	12.0	13.1	19.2	7.7	10.6	16.4	6.7	2.9	10.4	16.5	9.4	2.0	24.4	12.2	6.5	0.5	N
chr12:12940214-12940714	chr12:12787280-12787780	9.5	21.0	31.3	12.6	12.2	9.1	18.2	19.0	6.9	2.5	29.3	26.6	33.5	24.3	2.5	33.5	17.8	10.0	0.6	N
chr12:13253550-13254050	chr12:13100616-13101116	25.5	11.6	13.7	14.7	18.0	20.8	18.0	3.9	10.8	3.4	30.3	14.9	0.8	46.2	0.8	30.3	14.3	8.6	0.6	Y
chr12:14135127-14135627	chr12:13982193-13982693	19.3	18.0	45.7	16.7	24.8	11.6	21.1	12.6	11.6	13.5	18.4	22.4	11.0	7.9	11.0	45.7	19.0	9.2	0.5	N
chr12:14720749-14721249	chr12:14567815-14568315	25.6	29.8	5.7	19.2	7.5	52.0	20.9	23.3	10.8	42.1	46.9	50.3	31.3	1.8	5.7	52.0	28.1	15.8	0.6	N
chr12:14926378-14926878	chr12:14773444-14773944	34.4	39.4	52.8	32.7	24.5	26.4	37.7	25.3	26.7	31.3	43.5	26.1	19.9	22.1	19.9	52.8	32.4	9.1	0.3	N
chr12:22486336-22486836	chr12:22333402-22333902	36.4	32.0	45.7	40.5	30.8	36.9	35.5	25.5	32.1	8.5	17.8	27.2	12.8	49.6	8.5	45.7	29.4	10.9	0.4	N
chr12:22777489-22777989	chr12:22624555-22625055	13.0	19.9	7.3	14.2	3.7	22.9	14.4	26.4	13.9	3.8	23.1	35.7	30.9	14.7	3.7	35.7	17.6	10.0	0.6	N
chr12:24716957-24717457	chr12:24564023-24564523	7.6	14.6	13.1	13.5	7.9	13.6	14.7	24.8	18.3	4.2	22.4	33.3	15.5	3.3	4.2	33.3	15.7	7.8	0.5	N
chr12:25102108-25102608	chr12:24949174-24949674	20.5	20.0	21.1	17.8	12.2	18.4	28.8	20.1	21.1	13.4	22.8	9.4	5.8	15.0	5.8	28.8	17.8	6.1	0.3	N
chr12:25538133-25538633	chr12:25385199-25385699	3.8	8.2	2.8	6.6	2.4	18.6	8.5	5.6	1.5	0.6	34.0	11.4	4.5	1.5	0.6	34.0	8.4	9.1	1.1	N
chr12:26265559-26266059	chr12:26112626-26113126	89.9	83.4	34.2	60.8	42.4	55.0	70.6	86.4	84.3	77.2	83.8	89.1	89.2	18.8	34.2	89.9	72.8	18.9	0.3	N
chr12:28124024-28124524	chr12:27971091-27971591	17.0	17.6	8.7	10.1	59.9	22.3	17.1	14.6	31.5	40.1	18.7	7.9	4.3	3.7	4.3	59.9	20.8	15.3	0.7	N
chr12:30322764-30323264	chr12:30169831-30170331	21.6	15.0	48.1	22.3	8.9	15.2	30.5	13.1	9.4	19.9	22.1	27.4	10.8	33.5	8.9	48.1	20.3	10.7	0.5	N
chr12:30353916-30354416	chr12:30200983-30201483	10.1	4.8	33.1	7.3	2.7	3.2	4.9	2.5	1.9	3.8	10.0	21.2	4.2	32.0	1.9	33.1	8.4	9.0	1.1	N
chr12:30975886-30976386	chr12:30822952-30823452	18.9	23.3	6.0	13.1	36.2	39.8	32.5	11.8	25.7	59.5	4.4	1.4	2.7	53.3	1.4	59.5	21.2	17.3	0.8	N
chr12:32907375-32907875	chr12:32754441-32754941	63.5	33.9	11.5	21.4	31.8	41.9	33.1	41.7	36.3	32.1	36.1	23.5	43.2	6.9	11.5	63.5	34.6	12.5	0.4	N
chr12:33591264-33591764	chr12:33438329-33438829	18.4	14.7	26.6	17.2	5.1	9.3	19.7	9.6	10.0	7.6	21.2	31.5	30.6	39.9	5.1	31.5	17.0	8.7	0.5	N
chr12:34261237-34261737	chr12:34108302-34108802	35.2	29.3	51.0	46.0	24.5	21.0	32.5	26.7	12.5	32.4	33.3	47.0	28.7	58.6	12.5	51.0	32.3	10.8	0.3	N
chr12:39298249-39298749	chr12:38904447-38904947	21.3	41.0	28.9	45.4	49.4	38.0	44.7	36.2	37.5	47.0	41.6	23.2	18.8	2.7	18.8	49.4	36.4	10.2	0.3	Y
chr12:39538384-39538884	chr12:39144582-39145082	31.8	36.1	71.9	27.1	27.3	18.6	37.6	26.9	13.8	36.9	31.1	46.4	31.4	24.8	13.8	71.9	33.6	14.2	0.4	N
chr12:41581656-41582156	chr12:41187854-41188354	31.3	37.6	32.0	39.6	12.2	35.7	55.9	29.7	22.2	11.8	32.8	35.1	24.8	23.8	11.8	55.9	30.8	11.6	0.4	N
chr12:43945220-43945720	chr12:43551417-43551917	8.1	7.6	49.0	8.5	3.7	1.2	15.4	5.8	3.6	4.7	15.2	21.2	3.5	1.7	1.2	49.0	11.3	12.7	1.1	N
chr12:46663555-46664055	chr12:46269772-46270272	51.2	26.8	4.2	30.8	52.0	45.6	35.1	31.3	57.6	17.6	0.0	0.0	1.5	62.6	0.0	57.6	27.2	21.0	0.8	N
chr12:46767635-46768135	chr12:46373852-46374352	40.8	39.5	48.3	47.4	80.0	69.8	57.8	50.0	66.3	65.5	23.0	25.7	10.9	57.3	10.9	80.0	48.1	20.1	0.4	N
chr12:47224413-47224913	chr12:46830630-46831130	23.2	26.0	16.2	20.7	31.1	36.7	16.4	24.2	21.7	17.9	34.9	29.4	19.4	66.4	16.2	36.7	24.4	6.8	0.3	Y
chr12:47474678-47475178	chr12:47080895-47081395	49.8	8.7	28.7	11.4	30.6	6.3	7.0	7.3	17.1	8.5	7.6	0.0	2.0	9.1	0.0	49.8	14.2	14.1	1.0	N
chr12:48206722-48207222	chr12:47812939-47813439	35.8	0.3	0.8	1.6	20.3	1.7	0.4	0.0	0.4	2.9	0.1	1.9	0.0	26.6	0.0	35.8	5.1	10.7	2.1	N
chr12:48356696-48357196	chr12:47962913-47963413	22.4	30.0	27.0	20.6	19.2	28.0	30.2	33.3	30.9	18.3	41.2	50.0	50.0	16.8	18.3	50.0	30.8	10.6	0.3	N
chr12:48395869-48396369	chr12:48002086-48002586	11.2	2.4	1.5	1.7	4.6	22.8	2.4	2.8	2.4	0.6	5.2	8.0	4.4	0.1	0.6	22.8	5.4	6.0	1.1	N
chr12:48578362-48578862	chr12:48184579-48185079	12.8	15.2	26.2	8.7	15.0	30.5	7.6	16.2	9.4	4.4	24.7	20.7	15.7	9.7	4.4	30.5	15.9	7.8	0.5	N
chr12:48592478-48592978	chr12:48198695-48199195	38.3	22.0	41.7	20.9	24.0	17.6	23.5	27.9	16.1	17.1	6.5	23.7	14.9	19.7	6.5	41.7	22.6	9.4	0.4	N
chr12:49364165-49364665	chr12:48970382-48970882	26.6	33.9	19.4	20.8	49.8	36.3	19.1	27.5	29.7	18.3	31.3	23.8	18.7	21.7	18.3	49.8	27.3	9.1	0.3	N
chr12:49390618-49391118	chr12:48996835-48997335	9.2	4.1	3.1	3.2	21.5	14.2	11.8	6.8	4.3	5.9	5.4	1.2	1.2	4.6	1.2	21.5	7.1	5.8	0.8	N
chr12:49627288-49627788	chr12:49233505-49234005	82.5	69.8	87.7	81.2	92.0	48.7	77.2	50.7	83.3	41.3	76.1	21.0	1.8	83.1	1.8	92.0	62.6	27.9	0.4	N
chr12:49688874-49689374	chr12:49295091-49295591	17.0	24.3	3.2	7.4	18.7	14.5	14.1	16.9	12.2	15.9	7.8	6.0	4.3	15.0	3.2	24.3	12.5	6.3	0.5	N
chr12:49729592-49730092	chr12:49335809-49336309	38.5	20.9	40.4	22.4	36.1	43.7	41.9	30.3	24.1	44.8	24.6	19.5	13.4	36.5	13.4	44.8	30.8	10.6	0.3	N
chr12:49735720-49736220	chr12:49341937-49342437	30.3	4.7	13.9	6.6	39.7	41.0	7.0	1.9	3.5	7.6	9.0	8.6	2.8	4.8	1.9	41.0	13.6	13.9	1.0	N
chr12:49782966-49783466	chr12:49389183-49389683	87.7	74.0	91.2	77.9	91.7	85.0	83.9	65.8	84.3	85.0	66.3	47.2	24.6	43.8	24.6	91.7	74.2	19.4	0.3	N
chr12:49933124-49933624	chr12:49539341-49539841	21.8	11.5	10.1	6.5	39.0	27.9	15.4	12.3	12.9	14.7	14.5	9.3	7.9	10.3	6.5	39.0	15.7	9.1	0.6	N
chr12:49943287-49943787	chr12:49549504-49550004	82.1	44.5	47.4	49.4	90.0	54.5	53.3	60.2	35.0	48.5	77.9	43.2	64.2	42.1	35.0	90.0	57.7	16.5	0.3	N
chr12:50101443-50101943	chr12:49707660-49708160	20.9	13.8	16.9	12.0	14.5	20.2	13.6	25.3	13.7	10.9	23.3	34.2	20.1	17.9	10.9	34.2	18.4	6.6	0.4	N
chr12:50235639-50236139	chr12:49841856-49842356	17.5	16.0	14.3	12.0	14.8	16.0	11.5	19.5	35.2	15.3	33.5	10.7	22.2	5.1	10.7	35.2	18.3	7.8	0.4	N
chr12:50349080-50349580	chr12:49955297-49955797	55.0	25.1	76.3	32.4	59.9	50.7	30.5	24.6	38.4	54.1	13.9	17.3	14.1	18.3	13.9	76.3	37.9	19.7	0.5	N
chr12:50426553-50427053	chr12:50032770-50033270	19.9	12.8	38.1	10.5	10.5	10.8	16.5	5.1	10.2	6.4	23.7	8.5	0.9	61.7	0.9	38.1	13.4	9.6	0.7	Y
chr12:50505139-50505639	chr12:50111356-50111856	6.8	12.0	16.3	9.7	12.9	24.3	10.2	17.4	7.2	2.2	7.7	9.7	7.9	6.6	2.2	24.3	11.1	5.6	0.5	N
chr12:51236634-51237134	chr12:50842851-50843351	46.5	38.2	61.4	38.1	24.1	26.4	27.8	35.5	24.4	38.4	63.4	50.3	44.4	18.2	24.1	63.4	39.9	13.0	0.3	N
chr12:51785780-51786280	chr12:51391996-51392496	27.8	19.7	8.8	14.0	7.3	35.6	15.4	20.2	31.6	13.1	28.5	15.5	14.1	4.3	7.3	35.6	19.3	8.9	0.5	N
chr12:52115411-52115911	chr12:51721627-51722127	62.6	6.8	79.0	7.0	55.5	27.2	17.2	7.6	6.1	17.2	8.4	11.9	3.2	21.7	3.2	79.0	23.8	25.2	1.1	N
chr12:52263128-52263628	chr12:51869344-51869844	37.7	23.8	37.2	31.0	35.7	26.6	20.9	17.2	24.7	16.2	26.8	26.3	19.5	6.8	16.2	37.7	26.4	7.2	0.3	N
chr12:52301302-52301802	chr12:51907518-51908018	38.5	17.3	5.8	15.8	27.9	20.1	21.4	18.4	11.9	16.1	39.4	45.9	20.3	7.9	5.8	45.9	23.0	11.7	0.5	N
chr12:52400968-52401468	chr12:52007184-52007684	23.0	2.4	5.8	2.3	21.5	3.6	1.8	1.3	3.1	7.0	0.3	0.6	0.7	1.8	0.3	23.0	5.7	7.6	1.3	N
chr12:52643983-52644483	chr12:52250199-52250699	26.0	46.1	82.0	46.6	73.7	63.9	61.8	47.8	26.0	57.1	29.7	33.3	11.9	56.8	11.9	82.0	46.6	20.7	0.4	N
chr12:52652519-52653019	chr12:52258735-52259235	38.0	33.1	27.6	23.4	67.1	42.0	43.1	43.8	41.2	36.4	38.8	37.6	40.8	68.5	23.4	67.1	39.5	10.3	0.3	N
chr12:52994773-52995273	chr12:52600989-52601489	35.7	30.3	51.0	33.9	24.7	27.7	37.4	29.5	22.9	27.5	66.0	39.0	29.5	27.8	22.9	66.0	35.0	11.8	0.3	N
chr12:53296443-53296943	chr12:52902659-52903159	82.0	79.7	19.9	65.5	20.3	95.2	80.5	87.6	91.1	91.2	94.6	94.5	93.3	44.5	19.9	95.2	76.6	26.4	0.3	N
chr12:53359193-53359693	chr12:52965409-52965909	29.9	6.4	17.2	5.7	19.1	10.9	3.6	7.0	3.7	4.4	10.3	26.7	8.1	2.3	3.6	29.9	11.8	8.8	0.7	N
chr12:53472315-53472815	chr12:53078531-53079031	29.6	27.0	23.1	22.6	8.8	28.4	20.1	44.0	28.3	5.3	11.0	30.2	22.7	28.8	5.3	44.0	23.1	10.3	0.4	N
chr12:53591255-53591755	chr12:53197471-53197971	17.5	36.5	41.7	38.4	31.6	41.3	49.9	26.2	31.7	24.7	71.1	54.8	31.1	20.2	17.5	71.1	38.2	14.2	0.4	N
chr12:53613217-53613717	chr12:53219433-53219933	42.6	1.8	0.8	3.7	15.5	8.9	1.2	2.7	7.1	14.1	0.7	7.4	10.5	30.8	0.7	42.6	9.0	11.3	1.3	N
chr12:53688728-53689228	chr12:53294944-53295444	17.9	19.8	21.9	20.0	13.3	10.1	14.1	13.8	12.9	3.9	22.2	25.7	27.6	17.9	3.9	27.6	17.2	6.6	0.4	N
chr12:53717634-53718134	chr12:53323850-53324350	24.9	44.5	76.0	42.2	44.1	60.8	25.2	36.8	55.9	70.6	8.5	9.9	11.2	67.5	8.5	76.0	39.3	22.6	0.6	N
chr12:53835796-53836296	chr12:53442012-53442512	18.1	14.9	5.7	10.8	22.8	24.6	20.5	18.3	33.1	29.2	9.3	5.3	20.7	1.1	5.3	33.1	17.9	8.6	0.5	N
chr12:53886063-53886563	chr12:53492279-53492779	69.5	56.4	66.9	45.3	43.2	46.4	51.4	52.4	50.6	16.0	65.3	50.0	49.1	20.3	16.0	69.5	51.0	13.5	0.3	N
chr12:54070626-54071126	chr12:53676842-53677342	35.9	5.9	0.9	2.3	38.9	9.5	2.2	7.4	10.6	2.2	9.3	3.7	1.9	50.5	0.9	38.9	10.1	12.6	1.3	Y
chr12:54088712-54089212	chr12:53694928-53695428	32.1	22.1	19.8	16.3	31.8	44.6	34.9	16.7	18.3	46.5	7.0	10.0	5.4	44.7	5.4	46.5	23.5	13.4	0.6	N
chr12:54132149-54132649	chr12:53738365-53738865	29.6	9.1	6.8	5.5	34.6	17.4	18.0	11.4	21.7	25.0	11.7	4.8	5.1	3.0	4.8	34.6	15.4	9.9	0.6	N
chr12:54144563-54145063	chr12:53750779-53751279	10.0	14.4	3.8	7.4	20.4	11.6	14.4	20.5	7.3	6.0	30.9	3.4	12.7	16.3	3.4	30.9	12.5	7.8	0.6	N
chr12:54332306-54332806	chr12:53938522-53939022	15.6	6.1	23.8	6.5	6.4	3.4	5.8	4.7	2.9	6.4	16.5	19.4	2.8	0.6	2.8	23.8	9.3	7.0	0.8	N
chr12:54366816-54367316	chr12:53973032-53973532	15.4	9.0	27.2	8.5	6.6	10.4	12.5	13.2	7.7	9.9	9.9	16.8	4.1	5.0	4.1	27.2	11.6	5.8	0.5	N
chr12:54377697-54378197	chr12:53983913-53984413	10.9	6.1	12.6	27.4	7.8	22.5	13.2	8.2	6.6	11.3	5.3	7.2	2.1	15.5	2.1	27.4	10.9	7.0	0.6	N
chr12:54390826-54391326	chr12:53997042-53997542	18.9	29.0	31.2	24.7	41.4	61.4	58.2	29.3	26.4	12.6	18.6	12.4	5.8	38.7	5.8	61.4	28.4	16.8	0.6	N
chr12:54398413-54398913	chr12:54004629-54005129	10.6	20.6	19.3	12.0	12.0	41.2	35.9	14.0	11.6	9.5	7.3	20.4	6.1	22.6	6.1	41.2	17.0	10.7	0.6	N
chr12:54407927-54408427	chr12:54014143-54014643	12.4	9.8	13.0	18.1	20.3	49.1	31.1	14.5	8.7	9.3	12.4	15.0	3.4	41.8	3.4	49.1	16.7	11.8	0.7	N
chr12:54423428-54423928	chr12:54029644-54030144	17.9	13.3	22.2	19.6	13.0	11.7	35.3	39.6	15.2	8.9	8.7	8.0	8.2	56.2	8.0	39.6	17.1	10.1	0.6	Y
chr12:54440643-54441143	chr12:54046859-54047359	20.9	12.1	25.7	42.8	9.5	43.2	22.3	24.7	6.6	6.0	14.1	7.2	10.6	35.4	6.0	43.2	18.9	12.7	0.7	N
chr12:54445877-54446377	chr12:54052093-54052593	31.7	29.0	9.0	21.6	23.7	62.4	24.5	35.8	12.6	15.2	22.6	21.6	5.1	49.7	5.1	62.4	24.2	14.4	0.6	N
chr12:54473306-54473806	chr12:54079522-54080022	70.5	72.8	86.2	68.6	85.1	71.8	34.0	61.0	34.6	42.8	92.3	95.0	80.5	77.6	34.0	95.0	68.9	20.6	0.3	N
chr12:54500628-54501128	chr12:54106844-54107344	12.8	17.5	34.2	34.0	13.3	47.5	62.5	23.6	14.0	7.4	15.4	18.0	9.0	44.3	7.4	62.5	23.8	16.4	0.7	N
chr12:54611596-54612096	chr12:54217812-54218312	26.9	20.3	5.0	9.6	11.6	15.2	13.4	16.9	7.9	5.0	45.8	5.6	27.1	42.0	5.0	45.8	16.2	11.7	0.7	N
chr12:54784901-54785401	chr12:54391117-54391617	54.9	22.4	4.4	8.1	7.0	12.9	10.2	16.7	28.6	2.9	1.0	1.6	1.4	7.1	1.0	54.9	13.2	15.1	1.1	N
chr12:56137784-56138284	chr12:55744000-55744500	39.4	10.9	4.2	7.5	23.2	8.3	12.3	2.9	9.8	4.0	8.1	3.6	3.9	15.3	2.9	39.4	10.6	10.2	1.0	N
chr12:56694181-56694681	chr12:56300397-56300897	6.7	8.4	16.7	10.2	3.2	9.4	10.7	15.5	5.1	4.1	14.5	23.0	27.1	3.5	3.2	27.1	11.9	7.2	0.6	N
chr12:57483798-57484298	chr12:57090015-57090515	7.9	12.5	38.1	14.8	48.5	13.8	5.3	22.7	23.5	16.4	9.4	15.5	19.6	13.9	5.3	48.5	19.1	12.2	0.6	N
chr12:57618770-57619270	chr12:57224987-57225487	9.6	7.7	4.4	7.3	21.2	7.1	23.8	9.6	20.8	13.2	6.4	4.1	1.3	56.0	1.3	23.8	10.5	7.2	0.7	Y
chr12:57635107-57635607	chr12:57241324-57241824	20.5	8.1	12.7	4.8	26.7	10.1	11.4	7.3	29.8	29.0	14.2	8.9	6.3	19.2	4.8	29.8	14.6	8.9	0.6	N
chr12:57869076-57869576	chr12:57475293-57475793	36.2	37.2	19.8	32.1	21.9	24.4	20.9	48.9	10.6	10.5	93.0	93.7	86.6	6.3	10.5	93.7	41.2	30.4	0.7	N
chr12:58004381-58004881	chr12:57610598-57611098	8.9	11.3	2.9	3.1	15.8	28.6	2.8	5.1	0.9	14.0	11.6	5.7	2.7	24.8	0.9	28.6	8.7	7.7	0.9	N
chr12:58013172-58013672	chr12:57619389-57619889	15.9	25.0	7.9	23.4	17.6	23.9	16.9	45.2	30.3	60.3	8.3	8.1	3.6	13.3	3.6	60.3	22.0	16.0	0.7	N
chr12:58021295-58021795	chr12:57627512-57628012	13.0	13.9	3.8	9.4	6.5	7.2	16.2	20.3	27.3	51.8	1.5	3.3	0.7	10.7	0.7	51.8	13.5	13.9	1.0	N
chr12:58120910-58121410	chr12:57727127-57727627	45.8	55.5	17.8	39.4	9.9	25.0	34.6	48.8	22.4	36.8	94.9	94.9	93.8	10.7	9.9	94.9	47.7	29.5	0.6	N
chr12:58158356-58158856	chr12:57764573-57765073	31.9	11.0	15.2	12.1	5.1	14.3	14.0	18.0	15.1	24.4	16.9	14.4	16.3	35.6	5.1	31.9	16.1	6.4	0.4	Y
chr12:64172949-64173449	chr12:63779169-63779669	13.2	25.9	10.2	17.9	18.8	34.5	26.6	30.0	23.3	8.1	18.6	34.0	15.0	4.9	8.1	34.5	21.2	8.6	0.4	N
chr12:64215500-64216000	chr12:63821720-63822220	54.8	38.2	76.1	27.5	44.3	32.7	29.4	31.4	20.6	27.8	41.3	45.6	38.3	17.0	20.6	76.1	39.1	14.4	0.4	N
chr12:65671892-65672392	chr12:65278112-65278612	24.8	26.0	43.9	21.3	42.5	18.5	18.8	20.4	15.0	9.7	32.4	18.6	3.2	7.6	3.2	43.9	22.7	11.6	0.5	N
chr12:66136121-66136621	chr12:65742341-65742841	25.4	20.8	15.3	17.2	15.1	13.3	15.6	51.8	5.5	4.7	48.5	60.0	32.3	8.8	4.7	60.0	25.0	17.9	0.7	N
